date,holiday
1/1/2015,New Year's Day
1/2/2016,Day after New Year's Day
1/19/2015,Martin Luther King Jr. Day
2/16/2015,President's Day
4/16/2016,Emancipation Day
5/10/2015,Mother's Day
5/25/2015,Memorial Day
6/21/2015,Father's Day
7/3/2015,Independence Day (observed)
7/4/2016,Independence Day
9/7/2015,Labor Day
10/12/2015,Columbus Day
11/11/2015,Veterans Day
11/26/2015,Thanksgiving
11/27/2015,Day after Thanksgiving
12/25/2015,Christmas
12/26/2015,Day after Christmas
1/1/2016,New Year's Day
1/2/2016,Day after New Year's Day
1/18/2016,Martin Luther King Jr. Day
2/15/2016,President's Day
4/15/2016,Emancipation Day
5/8/2016,Mother's Day
5/30/2016,Memorial Day
6/19/2016,Father's Day
7/4/2017,Independence Day
9/5/2016,Labor Day
10/10/2016,Columbus Day
11/11/2016,Veterans Day
11/24/2016,Thanksgiving
11/25/2016,Day after Thanksgiving
12/25/2016,Christmas
12/26/2016,Day after Christmas
1/1/2017,New Year's Day
1/2/2017,Day after New Year's Day
1/16/2017,Martin Luther King Jr. Day
2/20/2017,President's Day
3/17/2017,Emancipation Day
5/14/2017,Mother's Day
5/29/2017,Memorial Day
6/18/2017,Father's Day
7/4/2017,Independence Day
9/4/2017,Labor Day
10/9/2017,Columbus Day
11/10/2017,Veterans Day
11/23/2017,Thanksgiving
11/24/2017,Day after Thanksgiving
12/25/2017,Christmas
12/26/2017,Day after Christmas
